time,lux_level
2022-05-17 15:04:00,431.25
2022-05-17 15:09:00,432.92
2022-05-17 15:16:30,429.58
2022-05-17 15:21:30,433.75
2022-05-17 15:24:00,422.92
2022-05-17 15:29:00,426.67
2022-05-17 15:31:30,425.83
2022-05-17 15:36:30,425.42
2022-05-17 15:41:30,423.33
2022-05-17 15:49:00,423.75
2022-05-17 15:54:00,425.42
2022-05-17 15:59:00,425.0
2022-05-17 16:04:00,433.75
2022-05-17 16:09:00,424.58
2022-05-17 16:16:30,423.33
2022-05-17 16:21:30,421.67
2022-05-17 16:24:00,425.83
2022-05-17 16:29:00,425.83
2022-05-17 16:34:00,427.5
2022-05-17 16:36:30,428.33
2022-05-17 16:46:30,429.17
2022-05-17 16:51:30,429.17
2022-05-17 16:59:00,430.83
2022-05-17 17:04:00,434.17
2022-05-17 17:19:02,430.0
2022-05-17 17:29:00,432.5
2022-05-17 17:34:01,431.25
2022-05-17 17:36:30,428.75
2022-05-17 17:41:30,433.75
2022-05-17 17:46:30,427.5
2022-05-17 17:49:00,430.0
2022-05-17 17:54:00,434.17
2022-05-17 18:01:30,429.58
2022-05-17 18:06:30,427.5
2022-05-17 18:11:30,433.33
2022-05-17 18:16:30,427.08
2022-05-17 18:21:30,432.08
2022-05-17 18:29:00,432.5
2022-05-17 18:34:00,426.67
2022-05-17 18:39:00,430.83
2022-05-17 18:44:00,403.33
2022-05-17 18:49:00,428.33
