time,pressure_level
2022-05-23 01:08:26,747.8
2022-05-23 01:13:23,747.83
2022-05-23 01:15:53,747.79
2022-05-23 01:18:23,747.8
2022-05-23 01:20:53,747.76
2022-05-23 01:23:23,747.82
2022-05-23 01:25:53,747.86
2022-05-23 01:28:23,747.89
2022-05-23 01:30:53,747.89
2022-05-23 01:33:23,747.88
2022-05-23 01:35:53,747.83
2022-05-23 01:38:23,747.83
2022-05-23 01:40:53,747.84
2022-05-23 01:43:23,747.82
2022-05-23 01:45:53,747.83
2022-05-23 01:48:23,747.74
2022-05-23 01:50:53,747.71
2022-05-23 01:53:23,747.69
2022-05-23 01:55:53,747.64
2022-05-23 01:58:23,747.57
2022-05-23 02:00:53,747.58
2022-05-23 02:03:23,747.52
2022-05-23 02:05:53,747.57
2022-05-23 02:08:23,747.54
2022-05-23 02:10:53,747.55
2022-05-23 02:13:23,747.56
2022-05-23 02:15:53,747.5
2022-05-23 02:18:23,747.49
2022-05-23 02:20:53,747.41
2022-05-23 02:23:23,747.42
2022-05-23 02:25:53,747.46
2022-05-23 02:28:23,747.45
2022-05-23 02:30:53,747.44
2022-05-23 02:33:23,747.4
2022-05-23 02:35:53,747.38
2022-05-23 02:38:23,747.39
2022-05-23 02:40:53,747.41
2022-05-23 02:43:23,747.37
2022-05-23 02:45:53,747.35
2022-05-23 02:48:23,747.26
2022-05-23 02:50:53,747.24
2022-05-23 02:53:23,747.3
2022-05-23 02:55:53,747.3
2022-05-23 02:58:23,747.32
2022-05-23 03:00:53,747.36
2022-05-23 03:03:23,747.35
2022-05-23 03:05:53,747.31
2022-05-23 03:08:23,747.28
2022-05-23 03:10:53,747.24
2022-05-23 03:13:23,747.25
2022-05-23 03:15:53,747.22
2022-05-23 03:18:23,747.24
2022-05-23 03:20:53,747.22
2022-05-23 03:23:23,747.21
2022-05-23 03:25:53,747.18
2022-05-23 03:28:23,747.08
2022-05-23 03:30:53,747.04
2022-05-23 03:33:23,746.96
2022-05-23 03:35:53,746.86
2022-05-23 03:38:23,746.86
2022-05-23 03:40:53,746.87
2022-05-23 03:43:23,746.81
2022-05-23 03:45:53,746.77
2022-05-23 03:48:23,746.78
2022-05-23 03:50:53,746.76
2022-05-23 03:53:23,746.78
