time,hum_level
2022-05-25 21:08:25,42.63
2022-05-25 21:10:57,42.69
2022-05-25 21:13:25,42.75
2022-05-25 21:15:55,42.89
2022-05-25 21:18:25,43.02
2022-05-25 21:20:55,43.09
2022-05-25 21:25:55,43.21
2022-05-25 21:28:25,43.26
2022-05-25 21:30:55,43.29
2022-05-25 21:33:25,43.32
2022-05-25 21:35:55,43.3
2022-05-25 21:38:25,43.3
2022-05-25 21:40:55,43.3
2022-05-25 21:43:25,43.31
2022-05-25 21:45:55,43.28
2022-05-25 21:48:25,43.27
2022-05-25 21:50:55,43.25
2022-05-25 21:53:25,43.24
2022-05-25 21:55:55,43.27
2022-05-25 21:58:25,43.24
2022-05-25 22:00:55,43.24
2022-05-25 22:03:25,43.23
2022-05-25 22:05:55,43.26
2022-05-25 22:08:25,43.25
2022-05-25 22:10:55,43.27
2022-05-25 22:13:25,43.26
2022-05-25 22:15:55,43.27
2022-05-25 22:18:25,43.26
2022-05-25 22:20:55,43.28
2022-05-25 22:23:25,43.31
2022-05-25 22:25:55,43.32
2022-05-25 22:28:25,43.31
2022-05-25 22:30:55,43.3
2022-05-25 22:35:55,43.26
2022-05-25 22:38:25,43.28
2022-05-25 22:40:55,43.24
2022-05-25 22:43:25,43.22
2022-05-25 22:45:55,43.22
2022-05-25 22:48:25,43.22
2022-05-25 22:50:55,43.19
2022-05-25 22:53:25,43.2
2022-05-25 22:55:55,43.21
2022-05-25 22:58:25,43.21
2022-05-25 23:03:25,43.2
2022-05-25 23:05:55,43.21
2022-05-25 23:10:55,43.2
2022-05-25 23:13:25,43.2
2022-05-25 23:15:55,43.22
2022-05-25 23:18:25,43.21
2022-05-25 23:20:55,43.21
2022-05-25 23:23:25,43.21
2022-05-25 23:25:55,43.25
2022-05-25 23:28:25,43.26
2022-05-25 23:30:55,43.29
2022-05-25 23:33:25,43.34
2022-05-25 23:35:55,43.33
2022-05-25 23:38:25,43.33
2022-05-25 23:40:55,43.33
2022-05-25 23:43:25,43.33
2022-05-25 23:45:55,43.33
2022-05-25 23:48:25,43.37
2022-05-25 23:50:55,43.39
2022-05-25 23:53:25,43.41
2022-05-25 23:55:55,43.43
2022-05-25 23:58:25,43.45
2022-05-26 00:00:55,43.48
2022-05-26 00:03:25,43.52
2022-05-26 00:08:25,43.58
2022-05-26 00:13:25,43.66
2022-05-26 00:15:55,43.67
2022-05-26 00:18:25,43.7
2022-05-26 00:20:55,43.71
